ERM_vs_HYP	ERM_vs_ARB	HYP_vs_ARB
-	-	
-	-	R00036
-	-	R00271
-	-	R00291
-	-	R00310
-	-	R00367
-	-	R00570
-	-	R00670
-	-	R00771
-	-	R00833
-	-	R01083
-	-	R01214
-	-	R01518
-	-	R01715
-	-	R01799
-	-	R01801
-	-	R01802
-	-	R01863
-	-	R01936
-	-	R01939
-	-	R02029
-	-	R02106
-	-	R02315
-	-	R03013
-	-	R03103
-	-	R03181
-	-	R03222
-	-	R03243
-	-	R03444
-	-	R03457
-	-	R04037
-	-	R04144
-	-	R04371
-	-	R04640
-	-	R04862
-	-	R05639
-	-	R07411
-	-	R07456
-	-	R07493
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
